公司全名,薪资,区域
脉景,18k-30k,上海·张江
同盾科技,20k-36k,北京·北太平…
精致集团,50k-75k,北京·五道口
大地量子,30k-45k,北京·望京
汇顶科技,15k-30k,成都·高新区
美团点评,25k-50k,北京·朝阳区
孚临金科,15k-30k,杭州·仓前
艾耕科技,20k-40k,杭州·西溪
中国中投证券,15k-25k,深圳·福田区
武汉心络科技有限公司,15k-30k,武汉·东湖新…
Aibee,30k-60k,北京·西北旺
云徙科技,25k-35k,广州·黄埔区
Soul App,35k-70k,北京·中关村
泛微,50k-100k,上海·浦江
同盾科技,23k-46k,杭州·仓前
Caicloud,15k-30k,杭州·滨江区
亿咖通科技,18k-25k,杭州·滨江区
美篇,35k-70k,北京·知春路
贝业思,14k-22k,广州·黄埔区
百度,20k-40k,北京·西三旗
美团点评,35k-40k,北京·朝阳区
柏视医疗,15k-30k,广州·广州大…
小步在家早教,20k-30k,北京·朝阳区
艾耕科技,30k-50k,杭州·西溪
Rela热拉-多元女性社区,25k-45k,上海·淮海路
顺丰科技有限公司,30k-60k,深圳·后海
极验,15k-25k,武汉·东湖新…
水象科技,20k-40k,上海·闵行区
智领云,10k-20k,武汉·东湖新…
同盾科技,24k-45k,上海·斜土路
亿咖通科技,20k-30k,杭州·滨江区
艾耕科技,30k-50k,北京·五道口
顺丰科技有限公司,15k-30k,深圳·后海
人人贷,30k-50k,深圳·白石洲
趣头条,30k-50k,上海·浦东新…
寒武纪科技,20k-30k,北京·学院路
柏视医疗,30k-60k,广州·广州大…
小鹏汽车,25k-50k,北京·中关村
筷子科技,25k-35k,广州·越秀区
上汽通用汽车有限公司,15k-30k,上海·金桥
Aibee,30k-60k,北京·西北旺
亿阳信通,20k-40k,北京·四季青
北京超盟数据科技有限公司,25k-40k,北京·亮马桥
腾讯,25k-35k,深圳·科技园
AutoX,20k-40k,深圳·科技园
品友互动,20k-40k,北京·双井
奥比中光,15k-30k,深圳·南山区
艾耕科技,30k-50k,北京·五道口
拼多多,30k-60k,上海·长宁区
一加手机,30k-60k,深圳·香蜜湖
腾讯,25k-45k,上海·徐汇区
亿咖通科技,20k-40k,上海·斜土路
广州思迈特,20k-30k,广州·天河区
追一科技,25k-50k,深圳·大冲
远鉴科技,30k-60k,北京·四季青
美团点评,40k-80k,北京·朝阳区
趣途科技,20k-35k,深圳·科技园
ULSee,20k-40k,上海·梅园
智言科技,20k-40k,深圳·大冲
奥比中光,20k-40k,深圳·科技园
拼多多,30k-60k,上海·长宁区
腾讯,20k-40k,上海·漕宝路
美团点评,30k-50k,北京·朝阳区
艾耕科技,25k-50k,北京·五道口
好未来,20k-40k,北京·海淀区
百果科技,25k-50k,深圳·南山区
学霸君,30k-45k,北京·酒仙桥
思必驰科技,20k-40k,北京·双榆树
径卫视觉,25k-50k,上海·杨浦区
华坤道威,15k-25k,杭州·天目山…
"米谟科技（Mint Muse, Inc.）",15k-30k,上海·半淞园…
AdMaster,25k-35k,上海·长征
希望金科,18k-30k,成都·高新区
V8实拍,25k-50k,北京·望京
拼多多,30k-60k,上海·长宁区
艾耕科技,30k-50k,北京·海淀区
腾讯,18k-36k,北京·北京大…
好未来,20k-40k,北京·海淀区
太古代科技,50k-100k,北京·北京大…
23魔方,15k-30k,成都·高新区
太平洋网络有限公司,20k-30k,广州·天河区
国辰机器人,15k-30k,杭州·萧山区
四川弘和集团,25k-40k,成都·机投桥
Mobvista,30k-60k,广州·猎德
杭州有盾网络科技有限公司,20k-40k,杭州·长河
灵动科技,20k-35k,北京·中关村
金山云,25k-40k,北京·海淀区
WeSure微保,15k-30k,深圳·科技园
CraiditX,20k-30k,北京·雍和宫
腾讯,25k-40k,深圳·科技园
商汤科技,25k-50k,深圳·前海
硅基智能,30k-60k,南京·宁南
K2DATA,15k-25k,北京·海淀区
奇虎360金融,30k-60k,北京·酒仙桥
松果出行,25k-40k,北京·朝阳区
新华网,15k-20k,北京·珠市口
英语流利说,25k-50k,上海·长阳路
东芝(中国)有限公司,20k-35k,北京·三元桥
探知数据,18k-35k,上海·静安区
Aibee,30k-60k,北京·西北旺
飞常准,10k-20k,上海·浦东新…
海柔创新,25k-40k,深圳·宝安区
泽泰征信,15k-30k,北京·望京
PINTEC,20k-32k,上海·陆家嘴
硅基智能,30k-60k,上海·浦东新…
腾讯,20k-40k,深圳·南油
东芝(中国)有限公司,20k-35k,北京·三元桥
奇虎360金融,40k-60k,北京·酒仙桥
亿阳信通,20k-40k,北京·四季青
呆萝卜,35k-50k,杭州·拱墅区
平安金融壹账通,12k-24k,深圳·新洲
联想集团,25k-40k,深圳·大冲
快手,30k-60k,北京·西二旗
宜高美,15k-30k,成都·高新区
喜马拉雅,20k-40k,上海·浦东新…
树融科技,20k-40k,上海·五角场
重庆金融资产交易所,25k-50k,重庆·渝中区
美篇,50k-100k,北京·海淀区
微店,35k-55k,杭州·西溪
东芝(中国)有限公司,18k-30k,北京·三元桥
联想集团,25k-40k,北京·西北旺
冰鉴科技,30k-60k,北京·海淀区
WESTWELLlab西井科技,18k-28k,上海·长宁区
车好多集团,25k-50k,北京·东坝
云集,22k-44k,杭州·萧山区
ZRobot,25k-40k,北京·朝阳区
水象科技,20k-40k,上海·闵行区
腾讯,20k-40k,上海·漕宝路
Yeahmobi,15k-30k,西安·雁塔区
美团点评,30k-50k,北京·朝阳区
天天拍车,20k-40k,上海·龙柏
搜狗,30k-50k,北京·五道口
京东数字科技,25k-50k,北京·大兴区
OPPO,20k-35k,深圳·南山区
宜高美,30k-45k,成都·武侯区
腾讯,25k-50k,深圳·科技园
Datatist,15k-30k,上海·徐家汇
起点前程,22k-35k,杭州·余杭区
考拉阅读,10k-20k,北京·学院路
Bigo,40k-80k,广州·市桥
朗绿科技,12k-20k,南京·仙林
玄武科技,20k-30k,广州·天河北
印闪科技,20k-40k,上海·徐汇区
RealAI,25k-50k,北京·海淀区
京东数字科技,20k-40k,北京·大兴区
微壳,30k-50k,北京·朝阳区
中诚信征信,20k-35k,北京·东四
REDEFINE,20k-40k,北京·朝阳区
畅唐网络,30k-50k,杭州·长河
Bigo,40k-80k,北京·学院路
微壳,30k-50k,北京·朝阳区
中诚信征信,25k-40k,北京·东四
畅唐网络,40k-60k,杭州·西兴
商汤科技,15k-25k,北京·五道口
美呗,20k-30k,成都·高新区
混沌大学,25k-50k,北京·北太平…
Club Factory,25k-50k,杭州·古荡
小影APP,25k-35k,杭州·天目山…
玄武科技,35k-40k,广州·天河北
Datatist,10k-20k,上海·徐家汇
百观Lab,25k-35k,北京·东四
图普科技（深度学习图像识别云）,30k-60k,广州·员村
联想集团,25k-40k,深圳·大冲
优乐学科技,20k-40k,深圳·南山区
商汤科技,15k-30k,深圳·南山区
美呗,20k-30k,成都·高新区
图普科技（深度学习图像识别云）,25k-40k,广州·棠下
阿里巴巴-高德,30k-50k,北京·望京
赛迪信息,10k-20k,重庆·鸳鸯
美团点评,30k-60k,北京·朝阳区
上海图爽爽信息科技有限公司,15k-30k,上海·世纪公…
littlelights,35k-65k,上海·虹梅路
Rokid,30k-60k,北京·西三旗
小米,20k-30k,南京·建邺区
Keep,35k-55k,北京·东四
极智嘉,25k-35k,北京·望京
23魔方,12k-24k,成都·高新区
申万宏源证券有限公司,30k-60k,上海·徐汇区
DMAI智能科技,30k-60k,广州·南沙区
Keep,35k-55k,北京·东四
申万宏源证券有限公司,30k-60k,上海·徐汇区
DMAI智能科技,30k-60k,广州·南沙区
香格里拉饭店管理（上海）有限公司北京分公司,20k-40k,北京·望京
中国科学院软件研究所,16k-30k,北京·中关村
吉利汽车,10k-20k,宁波·慈溪市
微投VTOU,15k-30k,上海·塘桥
灵动科技,20k-40k,北京·中关村
北明软件,15k-30k,南京·雨花台…
Rokid,30k-60k,北京·西三旗
去哪儿网,25k-40k,北京·中关村
罗伯沃茨,20k-30k,上海·临港新…
京东数字科技,25k-50k,北京·大兴区
知道创宇,18k-35k,北京·望京
天天拍车,50k-60k,上海·龙柏
Rokid,25k-50k,北京·西三旗
去哪儿网,30k-50k,北京·中关村
Keep,30k-60k,北京·东四
映客,35k-55k,北京·望京
vivo,30k-40k,深圳·上梅林
上海腾聘,35k-70k,上海·张江
51公积金管家,35k-40k,杭州·西溪
梅卡曼德,30k-60k,北京·西二旗
卓轩科技,20k-40k,深圳·前海
腾讯,20k-40k,深圳·南油
拍拍贷,28k-45k,上海·浦东新…
万益能源,15k-30k,成都·跳伞塔
百度,25K-50K,深圳·深圳湾
作业帮,20k-30k,北京·上地
极智嘉,25k-35k,北京·望京
腾讯,20k-40k,深圳·南油
去哪儿网,25k-40k,北京·西三旗
vivo,30k-50k,杭州·西湖区
华电科技,6k-10k,武汉·东湖新…
同花顺,15k-25k,杭州·西溪
深圳赛动生物自动化有限公司,18k-35k,深圳·科技园
闪银奇异,20k-35k,北京·团结湖
Airbnb,30k-50k,北京·朝外
思必驰科技,20k-30k,苏州·工业园…
狸米科技,30k-60k,北京·立水桥
